"Отметка времени","Мальчик или девочка?","Как часто тебя били в детстве?","Оцените ваш уровень вегетарианца по 5-ти бальной шкале","Что такое два.ч?","Твоя ориентация?","Погулять вечером после тяжкого рабочего дня, или посычевать дома?","Как часто играешь в игры?","Сериалы?","А книги? ","Вы таки антисемит? ","Какой предмет ближе всего по душе?","Как вы относитесь к аннексии Крыма?","Владимир Путин - ","Как хорошо вы знаете английский?","Было ли раньше лучше? ","А какие жанры фильмов любишь? "
"2019/06/10 1:51:46 AM GMT+5","Мальчик","Не били","0","Не знаю","Гетеро","Сычевать","2","4","0","Нет","Информатика","Мне всё равно","Президент","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Боевик;Детектив;Фантастика"
"2019/06/10 1:55:45 AM GMT+5","Девочка","Разве что по делу","1","Лучшая борда рунета","Гетеро","Сычевать","2","4","1","Нет","Информатика","Мне всё равно","Политик, лидер и боец","Отлично","А колбаса какая, колбаса...","Детектив;Аниме;Комедия;Фантастика"
"2019/06/10 5:22:07 AM GMT+5","Мальчик","Разве что по делу","0","Ненавижу Абу","Би","Гулять","4","2","3","Нет","Информатика","Мне всё равно","Политик, лидер и боец","Нормально","А колбаса какая, колбаса...","Детектив;Аниме;Комедия;Фантастика"
"2019/06/10 5:53:20 AM GMT+5","Девочка","Разве что по делу","3","Паблик в вк","Гетеро","Сычевать","0","0","5","Нет","Матеша","Мне всё равно","Хз","Хорошо","А колбаса какая, колбаса...","Драма;Комедия;Мелодрама"
"2019/06/10 7:21:43 AM GMT+5","Девочка","Не били","2","Паблик в вк","Гетеро","Сычевать","0","2","2","Нет","Информатика","Положительно","Политик, лидер и боец","Хорошо","Нет","Детектив;Аниме;Драма;Комедия;Исторический фильм;Фантастика"
"2019/06/10 7:57:44 AM GMT+5","Девочка","Разве что по делу","2","Паблик в вк","Гетеро","Гулять","0","0","3","Нет","Матеша","Мне всё равно","Рептилоид","Нормально","Нет","Комедия;Мелодрама;Фильм ужасов"
"2019/06/10 8:22:28 AM GMT+5","Мальчик","Не били","0","Ненавижу Абу","Би","Сычевать","4","0","4","Нет","Информатика","Мне всё равно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Исторический фильм"
"2019/06/10 8:35:58 AM GMT+5","Мальчик","Разве что по делу","3","Не знаю","Би","Сычевать","2","6","3","Нет","Информатика","Мне всё равно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Детектив;Драма;Мелодрама;Фантастика"
"2019/06/10 8:38:35 AM GMT+5","Мальчик","Разве что по делу","2","Ненавижу Абу","Гетеро","Сычевать","3","2","3","Нет","Информатика","Отрицательно","рептилоид","Хорошо","Нет","Аниме;Драма;Мелодрама;Исторический фильм;Фантастика"
"2019/06/10 8:42:07 AM GMT+5","Девочка","Не били","1","Не знаю","Гетеро","Гулять","1","2","2","Нет","Информатика","Мне всё равно","Сказочный или реальный?","Нормально","Нет","Фантастика"
